Player,Team,Opponent,DK Position,DK Salary,DK Projection,DK Value,DK Ownership,DKSlateID
Davante Adams,GB,DET,WR,9300,24.9,3.5,36,15905135
Derrick Henry,TEN,JAX,RB,8700,23.3,3.1,36,15904877
Tyreek Hill,KC,MIA,WR,8500,22.8,3,23,15905137
Travis Kelce,KC,MIA,TE,7400,20.4,2.8,28,15905501
Cowboys ,DAL,CIN,DST,2400,8.5,2.7,15,15905751
Keke Coutee,HOU,CHI,WR,5000,15.5,2.6,7,15905203
Breshad Perriman,NYJ,SEA,WR,3900,13.4,2.6,19,15905245
Austin Ekeler,LAC,ATL,RB,7000,19.3,2.5,19,15904885
Seahawks ,SEA,NYJ,DST,3000,9.4,2.4,19,15905738
Curtis Samuel,CAR,DEN,WR,5200,15.6,2.3,19,15905193
Robby Anderson,CAR,DEN,WR,6200,17.6,2.3,11,15905171
Braxton Berrios,NYJ,SEA,WR,3000,11.3,2.3,7,15905387
Russell Wilson,SEA,NYJ,QB,7900,26.2,1.8,11,15904801
Aaron Rodgers,GB,DET,QB,7500,24.8,1.7,15,15904803
Patrick Mahomes,KC,MIA,QB,8100,26.6,1.7,15,15904800
Justin Herbert,LAC,ATL,QB,6800,22.6,1.6,7,15904806
Ryan Tannehill,TEN,JAX,QB,6700,22.3,1.6,7,15904807
A.J. Brown,TEN,JAX,WR,7300,19.1,1.6,11,15905149
DeAndre Washington,MIA,KC,RB,4000,12.4,1.5,23,15905043
J.D. McKissic,WAS,SF,RB,4900,14.3,1.5,19,15904941
Adam Thielen,MIN,TB,WR,7000,18.2,1.3,11,15905155
Jalen Hurts,PHI,NO,QB,5100,17.1,1.3,3,15904827
Panthers ,CAR,DEN,DST,2900,8,1.3,7,15905741
David Montgomery,CHI,HOU,RB,6500,17.1,1.2,15,15904893
Aaron Jones,GB,DET,RB,7600,19.2,1.2,15,15904879
Keenan Allen,LAC,ATL,WR,7700,19.4,1.2,11,15905141
Dalvin Cook,MIN,TB,RB,9400,22.8,1.2,7,15904873
Tom Brady,TB,MIN,QB,6900,22.5,1.2,7,15904805
Bengals ,CIN,DAL,DST,2300,6.7,1.2,3,15905754
Mike Davis,CAR,DEN,RB,6400,16.8,1.1,7,15904899
49ers ,SF,WAS,DST,2700,7.4,1.1,3,15905745
Calvin Ridley,ATL,LAC,WR,7500,18.9,1,11,15905145
Matthew Stafford,DET,GB,QB,5700,18.7,1,3,15904814
Marvin Jones Jr.,DET,GB,WR,5800,15.5,1,11,15905179
Daniel Jones,NYG,ARI,QB,5500,18,1,1,15904819
Deebo Samuel,SF,WAS,WR,6400,16.7,1,7,15905167
Chris Carson,SEA,NYJ,RB,6900,17.6,1,7,15904887
Michael Gallup,DAL,CIN,WR,3800,11.5,0.9,7,15905255
Chad Hansen,HOU,CHI,WR,3900,11.6,0.8,11,15905249
Taysom Hill,NO,PHI,QB,6600,21.2,0.8,3,15904808
Evan Engram,NYG,ARI,TE,4300,12.3,0.8,7,15905515
Nick Mullens,SF,WAS,QB,5100,16.7,0.8,3,15904828
Saints ,NO,PHI,DST,3800,9.4,0.8,7,15905733
James Robinson,JAX,TEN,RB,7500,18.5,0.7,19,15904881
Tyler Lockett,SEA,NYJ,WR,7200,17.9,0.7,11,15905151
